"","Potentilla vahliana ","Dryas integrifolia","Astragalus alpinus","Taraxacum sp1 M_PL_024","Caltha palustris ","Cerastium alpinum","Arnica alpina","Papaver radicatum","Geum rossii ","Oxytropis arctica ","Petasites frigidus "
"Spilogona sanctipauli",19,15,0,1,3,3,2,0,0,0,0
"Bombus polaris",0,0,15,0,0,0,0,0,0,0,1
"Spilogona almquistii ",5,3,0,3,1,0,1,1,1,0,0
"Colias hecla",0,0,11,0,0,0,0,0,0,0,0
"Eupogonomyia probilofensis ",7,2,0,0,0,0,1,0,0,0,0
"Boloria improba ",0,8,0,0,0,0,0,0,0,0,0
"Pogonomyiodes segnis ",1,5,0,0,0,0,0,1,0,0,0
"Spilogona latilamina",5,0,0,0,0,0,0,0,0,0,0
"Boreellus atriceps",3,0,0,1,0,0,0,0,0,0,0
"Spilogona dorsata",2,0,0,0,1,0,0,0,0,0,0
"Spilogona projecta ",0,1,0,0,0,2,0,0,0,0,0
"Spilogona aesturium ",0,0,0,2,0,0,0,0,0,0,0
"Spilogona melanosoma",1,0,0,0,1,0,0,0,0,0,0
"Anarta richardsoni",0,0,0,0,0,0,0,0,0,1,0
"Colias nastes ",0,0,1,0,0,0,0,0,0,0,0
"Protocalliphora sp1 M_PL_024",1,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia sp1 M_PL_024",0,0,0,1,0,0,0,0,0,0,0
"Spilogona hurdiana ",0,0,0,0,1,0,0,0,0,0,0
