"","Cordia lutea","Darwiniothamnus tenuifolius","Plumbago scandens","Justicia galapagana","Tournefortia rufo-sericea","Cassia sp1 M_PL_026","Gossypium sp1 M_PL_026","Opuntia helleri","Scalesia beurii","Sida rhombifolia","Clerodendrum molle var.","Cordia leucophlyctis","Diodia radula","Lycopersicon cheesmanii","Mormordica charantia","Vigna luteola","Acacia insulae-iacobi","Avicennia germinans","Bidens pilosa","Cassia picta","Clerodendrum molle","Commicarpus tuberosus","Croton scouleri","Cryptocarpus pyriformis","Gossypium barbadense","Opuntia echios","Prosopis juliflora","Solanum americanum","Tournefortia psilostachya","Tribulus cistoides","Waltheria ovata","Abelmoschus manihot","Abutilon depauperatum","Acacia macracantha","Ageratum conyzoides","Bacopa monniera","Bastardia viscosa","Bougainvillea sp1 M_PL_026","Brassica campestris","Bursera graveolens","Cacabus miersii","Caesalpinia pulcherrima","Canna sp1 M_PL_026","Capsicum frutescens","Cardiospermum galapageium","Carica papaya","Cassia occidentalis","Castela galapageia","Catharanthus roseus","Chicocca alba","Clerodendrum molle glabr.","Coffea arabica ","Cordia sp1 M_PL_026","Crotalaria incana","Cucurbita pepo","Cuphea racemosa","Encelia hispida","Euphorbia cyathophora","Galactea striata","Galvezia leucantha","Galvezia leucantha pubescen","Geoffroea spinosa","Hibiscus teliaceus","Inga edulis","Ipomoea linearifolia","Ipomoea pes-caprae","Ipomoea sp1 M_PL_026","Jaegeria gracilis","Lantana peducularis","Lycopersicon cheesmanii minor","Macraea laricifolia","Malvastrum coromandelianum","Mentzelia aspera","Miconia robinsoniana","Mirabilis jalapa","Nolana galapagensis","Opuntia echios gigantea","Opuntia megasperma","Opuntia sp1 M_PL_026","Opuntia sp2 M_PL_026","Parkinsonia aculeata","Passiflora foetida","Persea maericana","Phyla sp1 M_PL_026","Physalis pubescens","Piscidia carthagenesis","Polygonum opelousanum","Portulaca oleracea","Psidium guajava","Psychotria rufipes","Rhynchosia minima","Scalesia affinis","Scalesia helleri","Scalesia pedunculata","Scalesia sp1 M_PL_026","Scaveola plumieri","Sesuvium portulacastrum","Setaria geniculta","Sida acuta","Sida paniculata","Sida spinosa","Sonchus oleraceus","Stachtarpheta cayanensis","Tetramerium nervosum","Vallesia glabra"
"Xylocopa darwini",1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Phoebis sennae",1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotes parrhasioides",0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atteva hysginiella",1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toxomerus crockeri",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urbanus dorantes",1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wasmannia auropunctata",1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Agrius cingulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Utetheisa galapagensis",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euchrombius ocellus",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
