"","Aristotelia chilensis","Alstroemeria aurea","Schinus patagonicus","Berberis darwinii","Vicia nigricans","Rosa eglanteria","Digitalis purpurea","Cynanchum diemii","Ribes magellanicum","Berberis buxifolia","Mutisia decurrens","Calceolaria crenatiflora","Tristerix corymbosus","Gavilea odoratissima"
"Policana albopilosa",1069,0,690,0,0,0,0,0,0,0,0,0,0,0
"Bombus dahlbomii",0,583,16,265,469,24,66,0,0,2,19,4,1,0
"Ruizantheda mutabilis",172,17,240,9,0,10,8,0,0,0,0,0,0,0
"Trichophthalma amoena",0,0,3,108,0,0,0,0,70,75,0,0,0,0
"Bombus ruderatus",0,173,0,0,10,0,13,0,0,0,0,0,0,0
"Colletes seminitidus",0,0,0,77,0,0,0,32,5,8,0,0,0,0
"Syrphus octomaculatus",0,28,49,5,0,34,0,0,0,0,0,0,0,0
"Manuelia gayi",0,101,0,1,0,0,0,0,0,0,6,0,0,0
"Allograpta hortensis",0,7,43,9,0,33,0,0,3,1,0,2,0,0
"Trichophthalma jaffueli",0,69,0,0,0,1,0,0,0,0,0,0,0,0
"Anthaxia sp1 M_PL_051",0,40,0,0,0,0,0,0,0,0,13,0,0,0
"Caenohalictus sp1 M_PL_051",0,0,0,48,0,0,0,0,0,0,0,0,0,0
"Phthiria sp1 M_PL_051",0,39,0,0,0,1,0,0,0,0,5,0,0,0
"Platycheirus sp1 M_PL_051",6,2,16,1,0,10,0,0,0,0,0,0,0,0
"Manuelia postica",0,11,12,5,0,0,0,0,0,0,0,0,4,0
"Heterosarus sp1 M_PL_051",0,22,0,0,0,0,0,0,0,0,8,0,0,0
"Sapromyza fulvicornis",0,11,0,0,0,11,0,0,0,0,6,0,0,0
"Camponotus sp1 M_PL_051",0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_051",0,0,0,0,0,0,0,19,3,0,0,0,0,0
"Unidentified sp2 M_PL_051",0,2,0,0,0,3,0,8,8,0,0,0,0,0
"Unidentified sp3 M_PL_051",0,11,1,0,0,7,0,0,0,0,0,0,0,0
"Megachile sp1 M_PL_051",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_051",1,0,15,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_051",0,0,0,0,16,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_051",0,0,0,0,0,0,0,15,0,0,0,0,0,0
"Chalepogenus caeruleus",0,0,0,0,0,0,0,0,0,0,0,14,0,0
"Vespula germanica",0,8,0,0,0,2,1,0,0,0,3,0,0,0
"Unidentified sp7 M_PL_051",0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Ocyptamus melanorrhinus",0,8,0,0,0,1,0,0,0,0,2,0,0,0
"Phthiria sp2 M_PL_051",0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_051",0,0,9,0,0,0,0,1,0,0,0,0,0,0
"Unidentified sp9 M_PL_051",0,0,10,0,0,0,0,0,0,0,0,0,0,0
"Ruizantheda nigrocaerulea",0,5,0,0,0,3,0,0,0,0,0,0,0,0
"Svastrides melanura",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Chilicola sp1 M_PL_051",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Evylaeus sp1 M_PL_051",0,6,0,0,0,0,0,0,0,0,1,0,0,0
"Unidentified sp10 M_PL_051",0,6,0,0,0,0,0,0,0,0,0,0,0,1
"Corynura prothysteres",1,3,0,0,0,0,2,0,0,0,0,0,0,0
"Megachile sp2 M_PL_051",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_051",0,5,0,0,0,0,1,0,0,0,0,0,0,0
"Sephanoides galeritus",0,1,0,0,0,0,0,0,0,0,3,0,1,0
"Unidentified sp12 M_PL_051",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Ruizantheda proxima",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_051",0,0,2,0,0,0,0,1,1,0,0,0,0,0
"Unidentified sp14 M_PL_051",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Platycherius fenestratus",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Scaeva melanostoma",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_051",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Unidentified sp16 M_PL_051",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp17 M_PL_051",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_051",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp19 M_PL_051",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp20 M_PL_051",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_051",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Chilicola sp2 M_PL_051",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_051",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_051",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Unidentified sp24 M_PL_051",0,2,0,0,0,0,0,0,0,0,0,0,0,0
