"","Guarea guidonia ","Cecropia schreberiana ","Schefflera morototoni ","Miconia prasina ","Cupania americana ","Alchornea latifolia ","Myrcia sp1 M_SD_003","Byrsonima coriacea ","Clusia rosea ","Henriettea fascicularis ","Casearia arborea ","Ocotea leucoxylon ","Miconia affinis ","Phoradendron sp1 M_SD_003","Psychotria berteroana ","Inga vera ","Ficus sp1 M_SD_003","Myrcine coriacea ","Anthurium scandens ","Dendropanax arboreus ","Inga laurina ","Miconia serrulata ","Tournefortia hisutissima ","Unidentified sp2 M_SD_003","Unidentified sp3 M_SD_003"
"Loxigilla portoricensis ",34,10,0,7,7,5,2,1,0,4,2,0,4,1,1,1,0,0,1,0,0,0,0,0,0
"Spindalis portoricensis ",0,12,14,15,0,0,5,1,0,1,0,0,0,0,3,2,0,1,0,1,0,1,1,0,1
"Vireo altiloquous ",6,1,1,0,3,1,0,2,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Turdus plumbeus ",0,3,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,1,3,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus dominicensis ",2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia musica ",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
"Margarops fuscatus ",1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zenaida zenaida ",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molothrus bonariensis ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesospingus sp1 M_SD_003",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiaris bicolor ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Todus mexicanus ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_003",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
