"","Miconia sp1 M_SD_010","Cecropia peltata","Trema micrantha","Ficus clusiifolia","Didymopanax morototoni","Alchornea glandulosa","Protium heptaphyllum","Unidentified sp2 M_SD_010","Aechmaea nudicaulis","Gravisia aquilega","Clidemia sp1 M_SD_010","Rhipsalis sp1 M_SD_010","Hieronyma caribaea","Cordia curassavica","Sapium aucuparium","Cordia bicolor","Anthurium scandens ","Laetia procera","Sloanea stipilata","Ficus citrifolia","Ilex sp1 M_SD_010","Chiococca alba","Clusia sp1 M_SD_010","Piper sp1 M_SD_010","Coussarea paniculata","Lacistema aggregatum","Ficus tobagensis","Doliocarpus dentatus","Myrcia leptoclada","Byrsonima spicata","Anthurium gracile","Calycolpus glaber","Cupania sp1 M_SD_010","Wulffia baccata","Davilla aspera","Eugenia baileyi","Psidium guajava","Castilla elastica","Myrcia sp1 M_SD_010","Henriettea sp1 M_SD_010","Isertia parviflora","Solanum sp1 M_SD_010","Unidentified sp1 M_SD_010","Aechmaea mertensii","Rourea surinamensis","Aechmaea dichlamydea","Aegiphilia integrifolia","Norantea guianensis","Phytolacca rivinoides ","Psychotria sp1 M_SD_010"
"Tangara gyrola",127,72,39,48,13,13,6,2,0,0,2,0,14,0,1,5,0,0,7,15,3,1,0,0,0,3,4,0,11,10,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,2
"Ramphocelus carbo",153,17,1,0,5,0,2,0,0,14,27,0,0,18,0,0,0,5,2,0,1,0,0,0,5,1,3,0,0,0,1,2,0,2,5,0,4,1,0,2,2,3,2,2,0,2,0,0,1,0
"Tangara mexicana",74,31,11,17,1,0,13,10,0,0,0,2,3,7,0,3,0,8,0,4,20,15,0,0,0,5,2,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,0,0,0,0,1,0,0,0
"Euphonia violacea",17,0,29,7,0,0,5,29,38,0,3,32,0,0,0,0,19,0,0,3,0,1,0,9,1,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlorophanes spiza",80,5,34,12,2,13,4,6,0,0,0,0,5,0,2,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Thraupis palmarum",35,18,1,11,49,14,12,0,0,0,0,1,0,0,0,5,0,3,1,0,0,0,0,0,2,2,0,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tachyphonus rufus",23,18,3,3,0,0,9,3,7,29,9,0,1,1,0,4,3,1,4,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,3,0,3,2,0,1,0,0,1,0
"Dacnis cayana",52,3,13,1,4,16,4,2,0,0,0,0,4,0,12,0,0,7,2,0,0,0,2,0,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"Thraupis episcopus",17,26,2,8,33,1,9,0,0,0,0,0,0,2,0,5,0,1,1,0,0,0,0,10,6,1,0,3,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanerpes caeruleus",11,0,27,3,0,11,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Tangara guttata",40,3,12,2,0,9,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Cyanerpes cyaneus",20,0,11,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",12,4,3,8,1,0,0,1,0,0,0,6,1,1,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tachyphonus luctuosus",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
